Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,10.0,1545,4514,4514,20
,NGA,Nigeria,2,8.76068841186664,147,518,518,108
,AFG,Afghanistan,3,8.71357321104664,179,643,643,153
,PAK,Pakistan,4,8.60083118874692,247,631,631,31
,SOM,Somalia,5,8.18490875982509,292,760,760,4
,TUR,Turkey,6,8.17335727543639,247,591,591,7
,SYR,Syria,7,8.09880903867057,26,531,531,0
,EGY,Egypt,8,7.89251932336951,221,349,349,0
,YEM,Yemen,9,7.88990096485981,52,342,342,0
,IND,India,10,7.52060276158294,250,216,216,4
,CMR,Cameroon,11,7.26428118958749,35,148,148,5
,THA,Thailand,12,7.10705416202409,152,67,67,0
,MLI,Mali,13,7.04000985903159,93,144,144,5
,KEN,Kenya,14,6.90928100082988,35,54,54,4
,LBY,Libya,15,6.89955220601417,12,81,81,0
,FRA,France,16,6.83035659517604,9,90,90,0
,COL,Colombia,17,6.82186820391618,104,44,44,13
,PHL,Philippines,18,6.7757039090188,62,91,91,32
,NER,Niger,19,6.67529032363473,18,108,108,1
,TCD,Chad,20,6.27714069428737,5,11,11,0
,LBN,Lebanon,21,6.17541982937983,12,13,13,0
,CHN,China,22,6.05493825411349,2,3,3,0
,TUN,Tunisia,23,6.03478606886304,12,28,28,1
,RUS,Russia,24,6.02936973110518,23,19,19,0
,USA,United States of America,25,5.88044572477994,8,49,49,0
,PSE,Palestine,26,5.82082938688291,92,6,6,0
,BEL,Belgium,27,5.77363658729867,5,32,32,0
,SAU,Saudi Arabia,28,5.75401394447291,29,22,22,0
,BGD,Bangladesh,29,5.75088630166082,24,42,42,0
,BFA,Burkina Faso,30,5.61260262981011,6,53,53,2
,ISR,Israel,31,5.43317910372611,25,9,9,0
,DZA,Algeria,32,5.34550439395086,6,11,11,0
,CAF,Central African Republic,33,5.29771365523647,1,14,14,0
,DEU,Germany,34,5.2018822450598,29,15,15,0
,COD,Democratic Republic of the Congo,35,5.02465284677567,3,4,4,3
