Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,AFG,Afghanistan,1,9.1300885941401,889,1499,2341,91
,IRQ,Iraq,2,8.52401170437275,873,540,873,32
,SOM,Somalia,3,8.4285365065514,332,661,489,14
,BFA,Burkina Faso,4,8.28114030504626,224,759,239,39
,NGA,Nigeria,5,8.27004714971002,214,497,177,50
,SYR,Syria,6,8.26125077445303,354,494,523,47
,MLI,Mali,7,8.16929698636834,341,604,561,102
,NER,Niger,8,7.8585898914084,76,595,133,34
,PAK,Pakistan,9,7.85252424812968,206,292,549,0
,MMR,Myanmar,10,7.56852236706278,714,326,268,3
,MOZ,Mozambique,11,7.48250353864604,60,98,6,28
,CMR,Cameroon,12,7.46686111064486,102,176,135,28
,IND,India,13,7.43409396913815,165,123,160,1
,COL,Colombia,14,7.0875954259929,75,78,195,7
,EGY,Egypt,15,6.95225716011993,45,71,36,17
,COD,Democratic Republic of the Congo,16,6.89601691937533,34,213,41,80
,PHL,Philippines,17,6.78627910828154,62,51,73,2
,CHL,Chile,18,6.53446940601174,387,1,98,1
,TCD,Chad,19,6.37022631954379,5,48,11,0
,KEN,Kenya,20,6.23067127705331,29,43,39,5
,YEM,Yemen,21,5.88620654742605,4,38,17,0
,THA,Thailand,22,5.72660107492515,14,7,35,0
,TUR,Turkey,23,5.67868608153122,15,6,7,0
,IDN,Indonesia,24,5.49204609690053,16,24,24,4
,LKA,Sri Lanka,25,5.43753087732316,0,0,0,0
,IRN,Iran,26,5.14358900469698,6,3,3,0
,LBY,Libya,27,5.12301950788881,4,5,0,2
,USA,United States of America,28,5.01841070987634,7,3,0,0
,GRC,Greece,29,4.89065317667774,53,0,2,0
,ISR,Israel,30,4.77526270617957,18,1,22,0
,DEU,Germany,31,4.7453604614488,20,0,1,0
,PSE,Palestine,32,4.73600348307829,17,1,19,0
,BDI,Burundi,33,4.71661024744486,6,5,92,0
,NPL,Nepal,34,4.71215828242653,1,0,8,0
,TZA,Tanzania,35,4.66042770867489,3,7,6,0
,FRA,France,36,4.57368923511181,7,1,0,0
,GBR,United Kingdom,37,4.55292438675287,7,1,1,0
,PER,Peru,38,4.46448818451987,1,16,0,0
,TUN,Tunisia,39,4.45702659987882,4,5,1,0
,DZA,Algeria,40,4.42600161438672,3,8,6,0
,BGD,Bangladesh,41,4.40556631060767,2,6,20,0
,NZL,New Zealand,42,4.37039630965821,1,0,6,0
,CIV,Cote d' Ivoire,43,4.30384099427526,8,5,5,0
,RUS,Russia,44,4.2186696451983,1,2,4,0
,UGA,Uganda,45,4.1919351423495,4,5,41,0
,VEN,Venezuela,46,3.999640853107,4,2,0,12
,TJK,Tajikistan,47,3.98251569360224,0,0,0,0
,CAN,Canada,48,3.93724686071058,1,4,1,0
,ETH,Ethiopia,49,3.75873276105108,0,0,0,0
,ITA,Italy,50,3.6814468681722,7,0,0,0
,BEN,Benin,51,3.59926830800999,4,3,11,0
,LBN,Lebanon,52,3.58020124882344,1,1,0,0
,AUT,Austria,53,3.25666984416089,1,0,0,0
,SAU,Saudi Arabia,54,3.10617630738021,1,0,0,0
,ESP,Spain,55,2.85659658693498,0,0,0,0
,CHE,Switzerland,56,2.77671285143021,2,0,0,0
,ARG,Argentina,57,2.77321873639432,5,0,0,0
,ECU,Ecuador,58,2.76265087826904,0,0,0,0
,NLD,Netherlands,59,2.71155123867754,2,0,0,0
,JOR,Jordan,60,2.59068618778953,0,0,0,0
,AUS,Australia,61,2.4347437675856,0,0,0,0
,MEX,Mexico,62,2.40310149537106,0,0,0,0
,UKR,Ukraine,63,2.30057195029442,0,0,0,0
,PRY,Paraguay,64,2.14892812431294,0,0,0,0
,BHR,Bahrain,65,2.14169132647598,1,0,0,0
,CYP,Cyprus,66,1.92849927080111,2,0,0,0
,CAF,Central African Republic,67,1.90014288467225,1,0,3,0
