Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,9.42187101436753,967,1083,1909,98
,AFG,Afghanistan,2,9.06652891816506,379,1624,2882,466
,SOM,Somalia,3,8.67457999951746,408,833,819,15
,NGA,Nigeria,4,8.50647222108339,151,642,611,259
,PAK,Pakistan,5,8.37367314405971,222,502,1014,3
,IND,India,6,7.89578584686805,542,312,484,66
,EGY,Egypt,7,7.851519019366,117,185,174,0
,SYR,Syria,8,7.82179614630118,26,323,393,0
,MLI,Mali,9,7.70818340581267,207,340,336,30
,CMR,Cameroon,10,7.62365657909601,276,279,287,293
,TUR,Turkey,11,7.41075633513863,66,66,93,0
,PHL,Philippines,12,7.1957331109355,189,124,332,64
,YEM,Yemen,13,7.18571875654742,45,92,145,18
,COL,Colombia,14,7.05932490894607,233,131,185,49
,BFA,Burkina Faso,15,6.85242626239726,137,144,140,33
,LBY,Libya,16,6.76472063240876,32,113,262,31
,KEN,Kenya,17,6.67594330148065,35,57,58,0
,THA,Thailand,18,6.6616578475248,100,35,115,0
,NER,Niger,19,6.54882015714312,26,63,77,70
,MOZ,Mozambique,20,6.4431232872071,52,141,43,3
,USA,United States of America,21,6.1499103429367,9,14,14,0
,IRN,Iran,22,6.0091867730574,16,61,120,14
,FRA,France,23,5.99089869990812,26,10,39,8
,IDN,Indonesia,24,5.8461540966702,27,61,34,0
,TCD,Chad,25,5.83668069163132,5,40,13,10
,GBR,United Kingdom,26,5.69040611457597,46,1,22,0
,PSE,Palestine,27,5.67307211239933,52,10,40,1
,TUN,Tunisia,28,5.5231784237347,18,16,37,0
,TJK,Tajikistan,29,5.46677364783521,2,56,3,0
,RUS,Russia,30,5.42604006487656,14,8,17,0
,ISR,Israel,31,5.36530426477221,52,3,35,0
,NPL,Nepal,32,5.25391243661138,78,3,20,0
,ETH,Ethiopia,33,5.15814625615199,2,0,2,0
,VEN,Venezuela,34,5.12832287680465,5,34,19,0
,CHL,Chile,35,5.12255680467022,81,1,7,0
,DZA,Algeria,36,5.11301641890588,8,18,15,0
,LBN,Lebanon,37,5.07106870560282,2,4,2,0
,BGD,Bangladesh,38,5.03316287391919,2,1,1,0
,CHN,China,39,5.01133402484579,0,0,0,0
,SAU,Saudi Arabia,40,4.961780013148,2,6,4,0
,DEU,Germany,41,4.91334930472509,47,0,2,0
,MMR,Myanmar,42,4.79542672790728,7,5,34,0
,BEL,Belgium,43,4.77871359780948,2,3,3,1
,CAN,Canada,44,4.71438712978121,2,12,27,0
,ESP,Spain,45,4.57760922704372,2,0,0,0
,BDI,Burundi,46,4.55471114832839,0,0,0,0
,GRC,Greece,47,4.49178941936215,32,0,9,0
,ECU,Ecuador,48,4.33431108332152,8,6,39,2
,UKR,Ukraine,49,4.32911365154739,8,1,7,0
,PER,Peru,50,4.21735236802828,4,4,10,0
,CAF,Central African Republic,51,4.10187544855768,0,0,0,0
,BHR,Bahrain,52,3.95260127869559,0,0,0,0
,JOR,Jordan,53,3.9047494994098,1,2,5,0
,MEX,Mexico,54,3.79600461062633,7,1,0,0
,KWT,Kuwait,55,3.78954286976635,0,0,0,0
,PRY,Paraguay,56,3.6765332623686,3,1,2,4
,COD,Democratic Republic of the Congo,57,3.6073129455086,0,0,0,0
,ITA,Italy,58,3.57744273836676,12,0,7,0
