Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,9.59996702805924,1288,2086,5050,16
,PAK,Pakistan,2,9.15262024354674,638,1322,2297,160
,AFG,Afghanistan,3,9.13426455513087,507,1511,2612,67
,SYR,Syria,4,8.23807858679659,168,1014,1833,71
,YEM,Yemen,5,8.09851264854003,219,651,798,121
,NGA,Nigeria,6,8.09834217820618,212,767,496,9
,SOM,Somalia,7,7.96412287824411,166,446,427,1
,IND,India,8,7.8147150789474,219,150,256,41
,THA,Thailand,9,7.49981028301722,199,184,493,0
,RUS,Russia,10,7.49014503634554,219,157,309,3
,TUR,Turkey,11,7.38746309910131,157,188,502,89
,COL,Colombia,12,7.38634935001642,119,181,484,21
,PHL,Philippines,13,7.21193612433352,113,98,304,29
,DZA,Algeria,14,6.69568220841263,41,43,135,1
,KEN,Kenya,15,6.68852204305231,72,113,377,6
,COD,Democratic Republic of the Congo,16,5.83617386849373,4,35,66,3
,EGY,Egypt,17,5.80426137909607,45,31,45,50
,ISR,Israel,18,5.70904536865805,77,10,46,0
,IRN,Iran,19,5.68896479375081,4,10,4,0
,MMR,Myanmar,20,5.5806365134653,8,8,4,3
,NOR,Norway,21,5.57448332863637,0,0,0,0
,MLI,Mali,22,5.49641260335714,16,45,0,11
,LBY,Libya,23,5.44632843330534,48,30,54,7
,LKA,Sri Lanka,24,5.44377836202913,2,0,0,3
,SDN,Sudan,25,5.39654246903088,3,9,12,38
,IDN,Indonesia,26,5.23522327346869,25,9,22,0
,LBN,Lebanon,27,5.16632454455614,9,10,80,0
,NPL,Nepal,28,5.13906010042154,7,11,28,0
,ETH,Ethiopia,29,5.04184406226869,2,24,8,4
,CHN,China,30,5.01001714885673,2,13,10,0
,PER,Peru,31,4.85702584043239,12,6,9,26
,BDI,Burundi,32,4.73527950455555,0,0,0,0
,UGA,Uganda,33,4.63477860577392,0,0,0,0
,PSE,Palestine,34,4.6298835419782,6,3,1,0
,GBR,United Kingdom,35,4.56843478474988,22,1,0,0
,BLR,Belarus,36,4.56711616854283,0,0,0,0
,BGD,Bangladesh,37,4.45352237160245,7,5,24,0
,FRA,France,38,4.35928057442224,8,8,2,4
,USA,United States of America,39,4.31803762983372,3,6,3,0
,TJK,Tajikistan,40,4.29303845179251,0,0,0,0
,GEO,Georgia,41,4.27719262462525,7,5,11,5
,BGR,Bulgaria,42,4.25476159577154,2,8,32,0
,CIV,Cote d' Ivoire,43,4.23947768169506,4,12,0,0
,CAF,Central African Republic,44,4.1727167448893,1,1,6,0
,GRC,Greece,45,4.02799723923586,7,0,0,0
,MAR,Morocco,45,4.02799723923586,0,0,0,0
,KAZ,Kazakhstan,47,3.95617480566033,1,0,1,0
,GTM,Guatemala,48,3.88464827545523,2,7,2,0
,BHR,Bahrain,49,3.82137931006798,10,2,17,0
,UKR,Ukraine,50,3.78954286976635,3,0,30,0
,RWA,Rwanda,51,3.67899355505194,2,0,10,0
,SAU,Saudi Arabia,52,3.59114813290422,1,2,0,0
,MRT,Mauritania,53,3.36737929077001,0,0,0,0
,TUN,Tunisia,54,3.34417397726558,3,0,0,5
,ESP,Spain,55,3.25666984416089,0,0,0,0
,ITA,Italy,56,3.23641617148099,3,0,1,0
,KSV,Kosovo,56,3.23641617148099,1,1,4,0
,CMR,Cameroon,58,3.23024640242245,0,0,0,0
,DEU,Germany,59,3.21986461753708,3,0,0,0
,NER,Niger,60,3.17484667681632,1,0,0,6
,ERI,Eritrea,61,3.1411929246903,0,0,0,0
,MEX,Mexico,62,2.97524705967317,0,0,0,0
,ARG,Argentina,63,2.81089881619837,2,0,0,0
