Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,GRC,Greece,51,4.20874080714482,29,0,8,0
,CIV,Cote d' Ivoire,52,4.15589691559407,0,0,0,0
,JOR,Jordan,53,4.14736271184521,0,0,0,0
,MEX,Mexico,54,3.9508089624169,8,5,1,0
,PRY,Paraguay,55,3.90380281918947,1,0,0,0
,MDG,Madagascar,56,3.84197057559517,0,0,0,0
,SWE,Sweden,57,3.78737818204056,8,4,2,0
,LAO,Laos,58,3.6814468681722,0,0,0,0
,SDN,Sudan,59,3.61396011347678,3,2,0,0
,KAZ,Kazakhstan,60,3.446433787525,0,0,0,0
,ARG,Argentina,61,3.11329397961675,9,0,3,0
,FIN,Finland,62,3.10379067195032,1,2,8,0
,MKD,Macedonia (FYR),63,2.92385814351269,1,0,0,0
,AUS,Australia,64,2.90000029128283,1,1,3,0
,SSD,South Sudan,65,2.89697124337022,0,0,0,0
,MYS,Malaysia,66,2.84378461489953,0,0,0,0
,ITA,Italy,67,2.78365901162542,5,0,0,0
,TZA,Tanzania,68,2.59929115724318,0,0,0,0
,AUT,Austria,69,2.56434529984762,0,0,0,0
,TKM,Turkmenistan,70,2.48990864139466,0,0,0,0
,TJK,Tajikistan,71,2.30659840182477,1,1,0,0
,NLD,Netherlands,72,2.26979317520095,1,1,0,0
,BIH,Bosnia and Herzegovina,73,2.25716824594657,0,0,0,0
,KSV,Kosovo,74,2.24435627391112,0,0,0,0
,NIC,Nicaragua,75,2.16322253728063,0,0,0,0
,UGA,Uganda,76,2.10457007854592,0,0,0,0
,CZE,Czech Republic,77,2.04164834957969,2,0,0,0
,DNK,Denmark,78,1.93774847442113,0,0,0,0
,RWA,Rwanda,78,1.93774847442113,0,0,0,0
,KGZ,Kyrgyz Republic,80,1.84047838100646,0,0,0,0
,GEO,Georgia,81,1.74247260716042,0,0,0,0
,URY,Uruguay,82,1.73086448260274,2,0,0,0
,CYP,Cyprus,82,1.73086448260274,1,0,1,0
,GAB,Gabon,82,1.73086448260274,1,0,2,0
,VEN,Venezuela,85,1.63192329244602,0,0,0,0
,LKA,Sri Lanka,86,1.52018198264983,1,0,1,0
,TWN,Taiwan,86,1.52018198264983,1,0,1,0
,HUN,Hungary,88,1.31972173286483,0,0,0,0
,CHE,Switzerland,89,1.24105004001805,1,0,0,0
,BRA,Brazil,89,1.24105004001805,0,0,0,0
,NOR,Norway,89,1.24105004001805,1,0,0,0
,ARE,United Arab Emirates,89,1.24105004001805,0,0,0,0
,IRL,Ireland,93,1.19885668197682,0,0,0,0
,DJI,Djibouti,94,1.10774171984795,0,0,0,0
,POL,Poland,95,1.05831156396975,0,0,0,0
,ARM,Armenia,96,0.826318935360223,0,0,0,0
,AZE,Azerbaijan,96,0.826318935360223,0,0,0,0
,MDA,Moldova,96,0.826318935360223,0,0,0,0
,MUS,Mauritius,96,0.826318935360223,0,0,0,0
,KOR,South Korea,100,0.681851850109894,0,0,0,0
,ECU,Ecuador,101,0.59942834098841,0,0,0,0
,ZAF,South Africa,102,0.508313378859537,0,0,0,0
,AGO,Angola,102,0.508313378859537,0,0,0,0
,JPN,Japan,102,0.508313378859537,0,0,0,0
,UZB,Uzbekistan,102,0.508313378859537,0,0,0,0
,SRB,Serbia,106,0.290978597681926,0,0,0,0
,HRV,Croatia,107,0.226890594371813,0,0,0,0
,SEN,Senegal,108,0.0,0,0,0,0
,MAR,Morocco,108,0.0,0,0,0,0
,ROU,Romania,108,0.0,0,0,0,0
,MRT,Mauritania,108,0.0,0,0,0,0
,VNM,Vietnam,108,0.0,0,0,0,0
,NZL,New Zealand,108,0.0,0,0,0,0
,BEN,Benin,108,0.0,0,0,0,0
,LTU,Lithuania,108,0.0,0,0,0,0
,TGO,Togo,108,0.0,0,0,0,0
,ALB,Albania,108,0.0,0,0,0,0
,BGR,Bulgaria,108,0.0,0,0,0,0
,BLR,Belarus,108,0.0,0,0,0,0
,BOL,Bolivia,108,0.0,0,0,0,0
,BTN,Bhutan,108,0.0,0,0,0,0
,BWA,Botswana,108,0.0,0,0,0,0
,COG,Republic of the Congo,108,0.0,0,0,0,0
,CRI,Costa Rica,108,0.0,0,0,0,0
,CUB,Cuba,108,0.0,0,0,0,0
,DOM,Dominican Republic,108,0.0,0,0,0,0
,ERI,Eritrea,108,0.0,0,0,0,0
,EST,Estonia,108,0.0,0,0,0,0
,GHA,Ghana,108,0.0,0,0,0,0
,GIN,Guinea,108,0.0,0,0,0,0
,GMB,The Gambia,108,0.0,0,0,0,0
,GNB,Guinea-Bissau,108,0.0,0,0,0,0
,GNQ,Equatorial Guinea,108,0.0,0,0,0,0
,GTM,Guatemala,108,0.0,0,0,0,0
,GUY,Guyana,108,0.0,0,0,0,0
,HND,Honduras,108,0.0,0,0,0,0
,HTI,Haiti,108,0.0,0,0,0,0
,ISL,Iceland,108,0.0,0,0,0,0
,JAM,Jamaica,108,0.0,0,0,0,0
,KHM,Cambodia,108,0.0,0,0,0,0
,LBR,Liberia,108,0.0,0,0,0,0
,LSO,Lesotho,108,0.0,0,0,0,0
,LVA,Latvia,108,0.0,0,0,0,0
,MNE,Montenegro,108,0.0,0,0,0,0
,MNG,Mongolia,108,0.0,0,0,0,0
,MWI,Malawi,108,0.0,0,0,0,0
,NAM,Namibia,108,0.0,0,0,0,0
,OMN,Oman,108,0.0,0,0,0,0
,PAN,Panama,108,0.0,0,0,0,0
,PNG,Papua New Guinea,108,0.0,0,0,0,0
,PRK,North Korea,108,0.0,0,0,0,0
,PRT,Portugal,108,0.0,0,0,0,0
,QAT,Qatar,108,0.0,0,0,0,0
,SGP,Singapore,108,0.0,0,0,0,0
,SLE,Sierra Leone,108,0.0,0,0,0,0
,SLV,El Salvador,108,0.0,0,0,0,0
,SVK,Slovakia,108,0.0,0,0,0,0
,SVN,Slovenia,108,0.0,0,0,0,0
,SWZ,Eswatini,108,0.0,0,0,0,0
,TLS,Timor-Leste,108,0.0,0,0,0,0
,TTO,Trinidad and Tobago,108,0.0,0,0,0,0
,ZMB,Zambia,108,0.0,0,0,0,0
,ZWE,Zimbabwe,108,0.0,0,0,0,0
