Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,9.74226397279452,1194,1732,3708,69
,AFG,Afghanistan,2,8.8521582567026,314,1256,2168,74
,SOM,Somalia,3,8.73583587614976,439,1535,1205,24
,NGA,Nigeria,4,8.64388665643285,186,794,798,99
,PAK,Pakistan,5,8.52563680755891,259,632,1465,22
,EGY,Egypt,6,8.17963488141623,160,703,601,9
,SYR,Syria,7,7.9635080118015,25,376,545,0
,TUR,Turkey,8,7.83444000770734,113,154,307,4
,IND,India,9,7.71142448572827,432,243,483,38
,MLI,Mali,10,7.50505177767785,191,296,404,47
,YEM,Yemen,11,7.4970067274655,44,120,129,0
,CMR,Cameroon,12,7.27404596614114,87,170,194,33
,PHL,Philippines,13,7.05433195359605,154,129,278,66
,KEN,Kenya,14,6.95931355324636,59,143,77,16
,THA,Thailand,15,6.90127006236044,92,51,236,4
,COL,Colombia,16,6.73797742624366,95,57,200,4
,USA,United States of America,17,6.61403521123875,20,74,547,0
,NER,Niger,18,6.59261317254196,14,74,63,40
,LBY,Libya,19,6.45341498653158,14,15,57,12
,FRA,France,20,6.34182436694856,41,3,17,0
,BFA,Burkina Faso,21,6.21922290401884,60,72,65,7
,GBR,United Kingdom,22,6.0263640153452,64,37,218,0
,RUS,Russia,23,5.88294679433945,12,30,78,0
,TCD,Chad,24,5.81492634488469,1,9,20,0
,ETH,Ethiopia,25,5.73803424376563,30,54,74,0
,PSE,Palestine,26,5.736783968823,50,13,36,0
,LBN,Lebanon,27,5.63809091083461,4,3,8,0
,CHN,China,28,5.62317367758944,4,10,8,0
,TUN,Tunisia,29,5.61823050721013,16,5,17,0
,BGD,Bangladesh,30,5.59361878389931,20,11,57,0
,ISR,Israel,31,5.36302918507619,45,5,29,0
,SAU,Saudi Arabia,32,5.33687796536509,6,5,15,0
,BEL,Belgium,33,5.21943783893352,6,0,1,0
,IRN,Iran,34,5.16874108753443,7,17,47,0
,BDI,Burundi,35,5.15190545992944,4,13,97,0
,ESP,Spain,36,5.14652012465434,3,16,136,0
,DZA,Algeria,37,5.03290622091392,8,7,16,0
,IDN,Indonesia,38,4.87907776355838,17,6,29,0
,DEU,Germany,39,4.86858782472565,16,1,8,0
,MMR,Myanmar,40,4.83471971779136,5,15,5,0
,MOZ,Mozambique,41,4.79272002054926,8,12,15,4
,NPL,Nepal,42,4.77664471573444,53,1,31,0
,CAF,Central African Republic,43,4.69752904634248,0,0,0,0
,UKR,Ukraine,44,4.60414130420658,6,3,5,0
,BHR,Bahrain,45,4.58539630382567,14,4,25,0
,CHL,Chile,46,4.5293541650032,37,0,6,0
,KWT,Kuwait,47,4.38354929772852,0,0,0,0
,COD,Democratic Republic of the Congo,48,4.35028395445471,0,0,0,0
,CAN,Canada,49,4.24587883819641,8,6,25,0
,PER,Peru,50,4.23302879055083,2,4,0,0
