Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,9.79372633014894,868,2974,4807,288
,NGA,Nigeria,2,9.11226951135466,138,2003,1846,8
,AFG,Afghanistan,3,8.86429401205157,312,1008,1835,361
,PAK,Pakistan,4,8.74912536576618,294,658,1004,35
,YEM,Yemen,5,8.04071476546904,93,458,748,13
,SYR,Syria,6,8.02566506801314,30,226,450,201
,EGY,Egypt,7,7.83907417805271,257,481,647,41
,SOM,Somalia,8,7.69863379983345,99,335,247,5
,TUR,Turkey,9,7.50347528882979,224,286,933,44
,IND,India,10,7.43251061263587,169,135,241,336
,CMR,Cameroon,11,7.39473460823085,44,292,876,122
,KEN,Kenya,12,7.27204399755268,30,205,142,1
,THA,Thailand,13,7.2451106405079,131,83,415,0
,LBY,Libya,14,7.1828605005474,80,234,181,91
,COL,Colombia,15,7.10230659183214,190,103,158,7
,MLI,Mali,16,6.88435850771719,85,181,204,18
,TCD,Chad,17,6.73697617802325,16,172,416,30
,FRA,France,18,6.65460275885419,10,145,445,15
,NER,Niger,19,6.64669566989314,25,202,50,0
,PHL,Philippines,20,6.63695007811965,44,38,148,12
,CHN,China,21,6.61860137452806,6,126,109,0
,LBN,Lebanon,22,6.59447148840531,12,60,284,4
,RUS,Russia,23,6.39645292224751,24,11,25,0
,TUN,Tunisia,24,6.28429629859363,19,99,106,0
,SAU,Saudi Arabia,25,5.85869186421886,17,60,113,0
,DZA,Algeria,26,5.79474063381594,12,22,14,0
,PSE,Palestine,27,5.75189284954739,106,17,134,6
,KWT,Kuwait,28,5.57008094028124,1,27,227,0
,ISR,Israel,29,5.54843381800648,45,9,123,0
,BGD,Bangladesh,30,5.40643166399286,24,17,137,0
,UKR,Ukraine,31,5.38466093558856,56,10,125,2
,USA,United States of America,32,5.32962295389738,4,26,28,0
,COD,Democratic Republic of the Congo,33,5.29922420984745,7,24,8,19
,IRN,Iran,34,5.26869557086639,10,28,10,4
,CAF,Central African Republic,35,5.17224404845533,6,30,21,8
,BDI,Burundi,36,5.14944134344709,12,20,80,0
,IDN,Indonesia,37,4.73128675234468,8,10,3,0
,GBR,United Kingdom,38,4.52797454392638,25,1,8,0
,BHR,Bahrain,39,4.50512348542946,3,2,9,0
,MMR,Myanmar,40,4.49990959446792,6,6,14,0
,PER,Peru,41,4.49130937921943,3,7,6,0
,SDN,Sudan,42,4.47531668711951,7,5,11,3
,PRY,Paraguay,43,4.38680652302897,8,9,0,1
,ETH,Ethiopia,44,4.30085379857652,2,1,24,0
,SSD,South Sudan,45,4.07276543075157,6,1,0,31
,MKD,Macedonia (FYR),46,3.99794351734149,1,5,30,0
,CHL,Chile,47,3.85107906313869,12,0,0,0
,NOR,Norway,48,3.78412095674011,0,0,0,0
,TZA,Tanzania,49,3.69119110980051,5,0,5,0
,TKM,Turkmenistan,50,3.651537525376,1,3,2,0
,DEU,Germany,51,3.62840648623209,3,5,1,0
,BFA,Burkina Faso,52,3.47177749998986,3,4,3,1
,BIH,Bosnia and Herzegovina,53,3.41367258609737,3,3,7,0
,NPL,Nepal,54,3.36737929077001,2,0,0,0
,JOR,Jordan,55,3.33690677235789,2,4,0,0
,NIC,Nicaragua,56,3.3072114155563,0,0,0,0
,UGA,Uganda,57,3.24457464986636,2,3,4,0
,GRC,Greece,58,3.15255698171093,3,0,1,0
,MDG,Madagascar,59,3.13199291989236,0,0,0,0
,RWA,Rwanda,59,3.13199291989236,0,0,0,0
,SWE,Sweden,61,3.06469735854517,1,3,1,0
,DNK,Denmark,61,3.06469735854517,2,2,5,0
,MOZ,Mozambique,63,3.00252983635947,0,0,0,0
,CIV,Cote d' Ivoire,64,2.80754039529825,0,0,0,0
,MYS,Malaysia,65,2.80416888110616,1,0,0,2
,AUS,Australia,66,2.78365901162542,1,1,0,0
,BLR,Belarus,67,2.77321873639432,0,0,0,0
,BEL,Belgium,68,2.76265087826904,2,0,0,0
,MEX,Mexico,69,2.57321504216497,5,0,0,0
,BGR,Bulgaria,70,2.49957122566066,0,0,0,0
,CAN,Canada,71,2.48990864139466,1,0,0,0
,VEN,Venezuela,72,2.46025571485066,1,1,0,0
,GEO,Georgia,73,2.43990672199487,0,0,0,0
,KSV,Kosovo,74,2.31852676052605,1,0,0,0
,MAR,Morocco,75,2.28223644448305,0,0,0,0
,ARE,United Arab Emirates,76,2.26979317520095,1,0,1,0
,KAZ,Kazakhstan,77,2.21814844117293,0,0,0,0
,DJI,Djibouti,78,2.10457007854592,0,0,0,0
,ITA,Italy,79,2.09695071388347,2,0,0,0
,GTM,Guatemala,80,2.04164834957969,0,0,0,0
,KGZ,Kyrgyz Republic,81,1.81963900407464,0,0,0,0
,IRL,Ireland,82,1.73086448260274,0,0,0,0
,BRA,Brazil,82,1.73086448260274,2,0,0,0
,CZE,Czech Republic,82,1.73086448260274,2,0,0,0
,KOR,South Korea,85,1.52018198264983,1,0,1,0
,MRT,Mauritania,86,1.40895466531747,0,0,0,0
,ECU,Ecuador,87,1.39182950581271,1,0,0,0
