Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,ESP,Spain,88,1.2812801910983,0,0,0,0
,UZB,Uzbekistan,88,1.2812801910983,1,0,0,0
,JPN,Japan,90,1.24105004001805,1,0,0,0
,ZAF,South Africa,90,1.24105004001805,1,0,0,0
,AGO,Angola,90,1.24105004001805,0,0,0,0
,SRB,Serbia,90,1.24105004001805,0,0,0,0
,ARG,Argentina,94,1.1544986362098,0,0,0,0
,TJK,Tajikistan,95,1.10774171984795,0,0,0,0
,SLE,Sierra Leone,96,0.890406938670335,0,0,0,0
,HUN,Hungary,97,0.826318935360223,0,0,0,0
,GNB,Guinea-Bissau,97,0.826318935360223,0,0,0,0
,LKA,Sri Lanka,99,0.757098618500233,0,0,0,0
,AZE,Azerbaijan,100,0.681851850109894,0,0,0,0
,HRV,Croatia,100,0.681851850109894,0,0,0,0
,KHM,Cambodia,102,0.59942834098841,0,0,0,0
,EST,Estonia,103,0.555070295221389,0,0,0,0
,CHE,Switzerland,104,0.406455517152519,0,0,0,0
,CYP,Cyprus,105,0.157670277511823,0,0,0,0
,NZL,New Zealand,106,0.0,0,0,0,0
,AUT,Austria,106,0.0,0,0,0,0
,SEN,Senegal,106,0.0,0,0,0,0
,LAO,Laos,106,0.0,0,0,0,0
,BEN,Benin,106,0.0,0,0,0,0
,NLD,Netherlands,106,0.0,0,0,0,0
,URY,Uruguay,106,0.0,0,0,0,0
,ROU,Romania,106,0.0,0,0,0,0
,FIN,Finland,106,0.0,0,0,0,0
,LTU,Lithuania,106,0.0,0,0,0,0
,VNM,Vietnam,106,0.0,0,0,0,0
,GAB,Gabon,106,0.0,0,0,0,0
,TWN,Taiwan,106,0.0,0,0,0,0
,POL,Poland,106,0.0,0,0,0,0
,ARM,Armenia,106,0.0,0,0,0,0
,MDA,Moldova,106,0.0,0,0,0,0
,MUS,Mauritius,106,0.0,0,0,0,0
,TGO,Togo,106,0.0,0,0,0,0
,ALB,Albania,106,0.0,0,0,0,0
,BOL,Bolivia,106,0.0,0,0,0,0
,BTN,Bhutan,106,0.0,0,0,0,0
,BWA,Botswana,106,0.0,0,0,0,0
,COG,Republic of the Congo,106,0.0,0,0,0,0
,CRI,Costa Rica,106,0.0,0,0,0,0
,CUB,Cuba,106,0.0,0,0,0,0
,DOM,Dominican Republic,106,0.0,0,0,0,0
,ERI,Eritrea,106,0.0,0,0,0,0
,GHA,Ghana,106,0.0,0,0,0,0
,GIN,Guinea,106,0.0,0,0,0,0
,GMB,The Gambia,106,0.0,0,0,0,0
,GNQ,Equatorial Guinea,106,0.0,0,0,0,0
,GUY,Guyana,106,0.0,0,0,0,0
,HND,Honduras,106,0.0,0,0,0,0
,HTI,Haiti,106,0.0,0,0,0,0
,ISL,Iceland,106,0.0,0,0,0,0
,JAM,Jamaica,106,0.0,0,0,0,0
,LBR,Liberia,106,0.0,0,0,0,0
,LSO,Lesotho,106,0.0,0,0,0,0
,LVA,Latvia,106,0.0,0,0,0,0
,MNE,Montenegro,106,0.0,0,0,0,0
,MNG,Mongolia,106,0.0,0,0,0,0
,MWI,Malawi,106,0.0,0,0,0,0
,NAM,Namibia,106,0.0,0,0,0,0
,OMN,Oman,106,0.0,0,0,0,0
,PAN,Panama,106,0.0,0,0,0,0
,PNG,Papua New Guinea,106,0.0,0,0,0,0
,PRK,North Korea,106,0.0,0,0,0,0
,PRT,Portugal,106,0.0,0,0,0,0
,QAT,Qatar,106,0.0,0,0,0,0
,SGP,Singapore,106,0.0,0,0,0,0
,SLV,El Salvador,106,0.0,0,0,0,0
,SVK,Slovakia,106,0.0,0,0,0,0
,SVN,Slovenia,106,0.0,0,0,0,0
,SWZ,Eswatini,106,0.0,0,0,0,0
,TLS,Timor-Leste,106,0.0,0,0,0,0
,TTO,Trinidad and Tobago,106,0.0,0,0,0,0
,ZMB,Zambia,106,0.0,0,0,0,0
,ZWE,Zimbabwe,106,0.0,0,0,0,0
