Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,AFG,Afghanistan,1,9.03900560514346,380,1194,2727,2727
,IRQ,Iraq,2,9.01650190936496,494,533,896,896
,SOM,Somalia,3,8.57545882457188,304,693,752,752
,NGA,Nigeria,4,8.38968179439523,158,688,312,312
,PAK,Pakistan,5,8.07863941835053,140,250,589,589
,SYR,Syria,6,7.91999034103741,151,368,894,894
,BFA,Burkina Faso,7,7.89344984942426,266,682,221,221
,MLI,Mali,8,7.82466938229563,152,389,324,324
,IND,India,9,7.80515480690028,317,224,362,362
,CMR,Cameroon,10,7.78472109147061,222,288,210,210
,EGY,Egypt,11,7.5794910159417,84,151,218,218
,COL,Colombia,12,7.35447977058492,342,154,374,374
,MOZ,Mozambique,13,7.33235194646276,127,348,89,89
,NER,Niger,14,7.22745567148709,82,282,100,100
,PHL,Philippines,15,7.17956392947668,133,114,299,299
,TUR,Turkey,16,7.04267726448863,54,51,93,93
,YEM,Yemen,17,6.84737091116462,18,75,60,60
,LKA,Sri Lanka,18,6.63518092830345,11,197,127,127
,THA,Thailand,19,6.56725767193117,71,59,99,99
,KEN,Kenya,20,6.56411725161248,34,73,72,72
,LBY,Libya,21,6.30187130968081,9,20,20,20
,TCD,Chad,22,6.2345819053111,15,83,35,35
,MMR,Myanmar,23,6.07440059984617,34,65,47,47
,USA,United States of America,24,6.04176897651031,24,31,62,62
,IRN,Iran,25,5.96193165660789,12,40,26,26
,FRA,France,26,5.61836095329152,25,4,22,22
,NPL,Nepal,27,5.51130264570572,94,4,17,17
,NZL,New Zealand,28,5.49098880115022,1,51,49,49
,CHL,Chile,29,5.48370374049129,103,1,27,27
,IDN,Indonesia,30,5.46475074095979,10,7,16,16
,PSE,Palestine,31,5.40959239726097,25,6,19,19
,GBR,United Kingdom,32,5.35863713757113,28,3,9,9
,ISR,Israel,33,5.26399240607281,37,4,25,25
,TUN,Tunisia,34,5.23826510669601,19,4,18,18
,TJK,Tajikistan,35,5.17486198878431,2,10,10,10
,DEU,Germany,36,4.91599798151205,26,3,22,22
