Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,9.87478140089336,1673,3980,9479,41
,PAK,Pakistan,2,9.18125906605939,518,1503,3421,81
,AFG,Afghanistan,3,8.93545785580997,259,923,1232,42
,SYR,Syria,4,8.44595320595531,80,907,1012,4
,NGA,Nigeria,5,8.33560425721973,107,931,146,13
,YEM,Yemen,6,7.98373208481024,201,316,444,13
,SOM,Somalia,7,7.82010033437536,152,264,366,6
,IND,India,8,7.70049111677063,199,241,294,37
,THA,Thailand,9,7.46915040588414,196,154,413,0
,COL,Colombia,10,7.37883637465365,217,140,291,19
,RUS,Russia,11,7.37331707769546,141,132,299,0
,PHL,Philippines,12,7.20014232661348,71,108,211,305
,TUR,Turkey,13,7.01562557869929,13,56,140,4
,KEN,Kenya,14,6.96773879872877,41,151,272,0
,EGY,Egypt,15,6.79271032246869,91,132,376,4
,DZA,Algeria,16,6.4762539660373,13,46,26,107
,LBN,Lebanon,17,6.21058537890442,34,56,294,13
,LBY,Libya,18,6.18414278858153,90,55,104,13
,MLI,Mali,19,5.89591272480977,33,45,53,2
,COD,Democratic Republic of the Congo,20,5.7454981702434,2,40,0,0
,IRN,Iran,21,5.48887032377781,7,21,0,0
,ISR,Israel,22,5.31344439490256,33,1,1,0
,MMR,Myanmar,23,5.21300040708467,9,6,11,0
,IDN,Indonesia,24,5.12348196367251,10,13,4,0
,USA,United States of America,25,5.05720400310108,3,4,141,0
,SDN,Sudan,26,5.05395337043641,4,12,19,0
,CHN,China,27,4.98623486401738,4,8,49,0
,NOR,Norway,28,4.97642615060353,0,0,0,0
,TUN,Tunisia,29,4.91687907409454,14,22,9,0
,PER,Peru,30,4.71919668221384,9,4,6,18
,ETH,Ethiopia,31,4.60160896771212,2,4,0,0
,GBR,United Kingdom,32,4.58969234989311,29,1,1,0
,NPL,Nepal,33,4.58367189189854,7,0,9,0
,BGD,Bangladesh,34,4.52057916122092,14,3,19,0
,BHR,Bahrain,35,4.48890517334813,20,2,34,0
,PSE,Palestine,36,4.46498334187374,9,3,11,0
,RWA,Rwanda,37,4.43987146438505,3,4,54,0
,PRY,Paraguay,38,4.40078109664335,11,9,14,5
,LKA,Sri Lanka,39,4.20071483496667,0,0,0,0
,BDI,Burundi,40,4.13802128338827,0,0,0,0
,GRC,Greece,41,4.12271482548951,13,2,3,0
,UGA,Uganda,42,4.03940842471919,0,0,0,0
,CIV,Cote d' Ivoire,43,3.98078437711825,2,2,4,0
,BLR,Belarus,44,3.94901292377567,0,0,0,0
,NER,Niger,45,3.83070609987766,3,3,16,0
,FRA,France,46,3.80241842713288,1,0,1,0
,GEO,Georgia,47,3.7609702585345,1,1,1,0
,SSD,South Sudan,48,3.74745760400636,2,6,7,0
,TJK,Tajikistan,49,3.73603349738636,1,0,0,0
,BGR,Bulgaria,50,3.66162268101367,0,0,0,0
,CAF,Central African Republic,51,3.58020124882344,0,0,0,0
,MAR,Morocco,52,3.43673508069285,0,0,0,0
,KAZ,Kazakhstan,53,3.36561620698927,0,0,0,0
,UKR,Ukraine,54,3.32773603641734,2,0,0,0
,GTM,Guatemala,55,3.29197239048496,0,0,0,0
,CHL,Chile,56,3.2281799921324,3,2,0,0
,KSV,Kosovo,57,3.13199291989236,4,0,2,0
,CMR,Cameroon,58,3.07956521406353,1,0,0,7
,KGZ,Kyrgyz Republic,59,3.05968405583907,2,2,2,0
,MOZ,Mozambique,60,3.02897814524368,2,1,10,0
,SAU,Saudi Arabia,61,3.00252983635947,0,0,0,0
,ITA,Italy,62,2.65724150317248,0,0,0,0
,VEN,Venezuela,63,2.64919686567386,1,1,0,0
,DEU,Germany,64,2.6410766905681,0,0,0,0
,MRT,Mauritania,65,2.61204016889894,0,0,0,0
,ARG,Argentina,66,2.58199473478214,2,0,0,0
,MEX,Mexico,67,2.55538364146546,1,0,0,0
,ERI,Eritrea,68,2.52792761178952,0,0,0,0
,MDG,Madagascar,69,2.48990864139466,3,0,0,0
,ESP,Spain,70,2.38683533002177,0,0,0,0
,SRB,Serbia,71,2.34764709749516,1,0,2,0
,SLV,El Salvador,72,2.00838300630588,0,0,0,0
,MYS,Malaysia,73,1.97378670117656,1,0,0,0
,IRL,Ireland,74,1.9468998010341,1,0,0,0
,JOR,Jordan,75,1.93774847442113,0,0,0,0
,HND,Honduras,76,1.86082737386225,0,0,0,0
,BIH,Bosnia and Herzegovina,77,1.84047838100646,1,0,0,0
,SLE,Sierra Leone,78,1.81963900407464,0,0,0,0
,TZA,Tanzania,79,1.73086448260274,2,0,0,0
,GNB,Guinea-Bissau,79,1.73086448260274,0,0,0,0
,SEN,Senegal,81,1.68280810349464,0,0,0,0
,AGO,Angola,82,1.65773990495816,0,0,0,0
,AZE,Azerbaijan,83,1.52018198264983,0,0,0,0
,HRV,Croatia,83,1.52018198264983,1,0,1,0
,MDA,Moldova,85,1.42574727634863,0,0,0,0
,KHM,Cambodia,85,1.42574727634863,0,0,0,0
,UZB,Uzbekistan,87,1.33832013343272,0,0,0,0
,EST,Estonia,88,1.31972173286483,0,0,0,0
,ECU,Ecuador,89,1.2812801910983,1,0,0,0
,CHE,Switzerland,90,1.05831156396975,0,0,0,0
,AUT,Austria,91,1.03249495145761,0,0,0,0
,SWE,Sweden,92,0.950071442336124,0,0,0,0
,KWT,Kuwait,93,0.890406938670335,0,0,0,0
,TCD,Chad,94,0.681851850109894,0,0,0,0
,NIC,Nicaragua,94,0.681851850109894,0,0,0,0
,PAN,Panama,94,0.681851850109894,0,0,0,0
,URY,Uruguay,97,0.555070295221389,0,0,0,0
,BOL,Bolivia,97,0.555070295221389,0,0,0,0
